,participant_id,age,Country of Birth,Current Country of Residence,English speaking Monolingual,First Language,Sex,l1,group,sex,langgroup,nativeness,index,emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7,sequence_weight
5244,610bf50184d89a31761e243d,23,France,France,,French,Male,french,french,male,romance,nonnative,39,0.4676719903945923,0.5184780359268188,0.49936243891716003,0.4927465617656708,0.5006083846092224,0.500262975692749,0.500430166721344,0.5001286864280701,0.71991897
5106,60d5c473efa1cf467e529129,27,Germany,Germany,,German,Female,german,german,female,germanic,nonnative,40,0.4989912509918213,0.49877575039863586,0.5049704313278198,0.6600581407546997,0.5010019540786743,0.4999830722808838,0.4999969005584717,0.5001726150512695,0.7867705
5112,60cb0517890a97786899d2ea,24,Germany,Germany,,German,Female,german,german,female,germanic,nonnative,41,0.8360869884490967,0.49873268604278564,0.48330771923065186,0.48048678040504456,0.4948975145816803,0.49994146823883057,0.4999035894870758,0.499981164932251,0.78135246
5123,601801e07f813cac4bdde144,20,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,42,0.6445204019546509,0.4983527362346649,0.500745415687561,0.39482003450393677,0.5715239644050598,0.5000676512718201,0.4999220371246338,0.49998849630355835,0.7925363
5124,60da21dd73dff4888b35564f,25,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,43,0.5759102702140808,0.5011313557624817,0.5105185508728027,0.40753015875816345,0.49657726287841797,0.500115692615509,0.500001072883606,0.5000349879264832,0.8751047
5125,5f4cd7926e1f3e8ed56bd215,19,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,44,0.5080746412277222,0.42700231075286865,0.6022240519523621,0.5011343359947205,0.4997241795063019,0.5001016855239868,0.5001112222671509,0.5001116394996643,0.76280826
5138,60d10503b38976552a1b35da,24,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,45,0.5980240106582642,0.4372880756855011,0.647951602935791,0.5638000965118408,0.37289372086524963,0.5001126527786255,0.5001270174980164,0.500102698802948,0.83373284
5139,60d440a71dc9476a8ae48cae,27,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,46,0.6327763795852661,0.3320232927799225,0.5609171390533447,0.526006817817688,0.3529190123081207,0.5000710487365723,0.5000365376472473,0.5000578165054321,0.8000769
5143,60b819266c656fa8a43d5be1,21,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,47,0.40206292271614075,0.37534675002098083,0.2690671682357788,0.46156755089759827,0.39975544810295105,0.49993300437927246,0.5001108050346375,0.49996984004974365,0.61610156
5144,6046c35a85aec60f5a09d11c,23,Austria,Austria,,German,Male,german,german,male,germanic,nonnative,48,0.6459473371505737,0.5034262537956238,0.4978480339050293,0.49988695979118347,0.4995816946029663,0.5000415444374084,0.4999227523803711,0.49996519088745117,0.7402772
5151,60bfc9efc639f29ac485ac6d,19,Germany,Germany,,German,Female,german,german,female,germanic,nonnative,49,0.7027178406715393,0.4462175667285919,0.4136364161968231,0.499368280172348,0.4999377727508545,0.4999150037765503,0.49982982873916626,0.4999812841415405,0.7792387
5154,60060089125e50636ad6719e,24,Germany,Germany,,German,Female,german,german,female,germanic,nonnative,50,0.6033539772033691,0.49903756380081177,0.23819482326507568,0.4971056878566742,0.5022406578063965,0.5001127123832703,0.5000695586204529,0.5000364184379578,0.91422576
5156,60c9f510282b994f965f122d,23,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,51,0.5009670853614807,0.47819724678993225,0.5012139081954956,0.5000656247138977,0.36254286766052246,0.499994158744812,0.49998652935028076,0.5000465512275696,0.39923456
5163,5c33373d01439b0001a09cdc,25,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,52,0.5027703046798706,0.33712488412857056,0.5541800856590271,0.49992966651916504,0.4969770610332489,0.500129222869873,0.4999518394470215,0.49997222423553467,0.78330886
5173,60df43042ab7b3826861bb39,36,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,53,0.40350180864334106,0.49969613552093506,0.5663744211196899,0.4957558214664459,0.49791648983955383,0.4999188184738159,0.5000255703926086,0.49993371963500977,0.7069647
5174,5fef28c2feba31d456459420,20,Germany,Germany,,German,Female,german,german,female,germanic,nonnative,54,0.4981505274772644,0.5022132992744446,0.635698676109314,0.4991542100906372,0.6014117002487183,0.5000913739204407,0.4999876022338867,0.49998152256011963,0.8490726
5176,5f84ace0af0c021529fc4e3d,23,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,55,0.44804391264915466,0.6892818808555603,0.4628256857395172,0.594572126865387,0.709101140499115,0.4998243451118469,0.4998236298561096,0.49980685114860535,0.78226864
5177,60140a6677aab7353e504619,22,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,56,0.6518120169639587,0.7048600912094116,0.5013388395309448,0.5788016319274902,0.5019153356552124,0.49993813037872314,0.4999082386493683,0.49999749660491943,0.79259473
5178,5fb6d4a5ed317d13eac3455e,40,Germany,Germany,,German,Male,german,german,male,germanic,nonnative,57,0.44923141598701477,0.4691053628921509,0.5028045773506165,0.5002024173736572,0.42789605259895325,0.5000680088996887,0.5000430345535278,0.49999570846557617,0.6571431
5179,5f58c7ac49483e055a5b96bb,19,Austria,Austria,,German,Male,german,german,male,germanic,nonnative,58,0.5995845198631287,0.5001769661903381,0.5014492273330688,0.4792565703392029,0.5291404128074646,0.4998624622821808,0.49977442622184753,0.4999140501022339,0.6806732
5242,60fdb038bb7b41e60152a00c,18,Germany,Germany,,German,Female,german,german,female,germanic,nonnative,59,0.28385457396507263,0.5006076693534851,0.37924474477767944,0.4462411105632782,0.4030974507331848,0.49986532330513,0.49980980157852173,0.49991288781166077,0.5201193
